User Name,Date of Review,Review Content,Rating,Overall Rating,Food Rating,Service Rating,Ambience Rating
A,Dined 4 days ago,"Though the service was lovely, the quality of the food was't what one should expect given the price point.",2 stars,Overall 2,Food 2,Service 4,Ambience 3
Susan,"Dined on December 3, 2024",Great service and delicious lunch. The chicken salad sandwich and fries were perfect! Can’t wait to explore more items on the menu! Next time…,5 stars,Overall 5,Food 5,Service 5,Ambience 5
OpenTable Diner,"Dined on November 29, 2024",Great Service; extensive wine list; great meal; convenient location,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Catherine,"Dined on November 24, 2024",There’s a reason this is my go-to restaurant. Incredible dinner menu and did not disappoint. Dinner service is at a relaxed pace; plan accordingly.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
Sharon,"Dined on November 21, 2024",Both the food and service experience are diminished compared to the past. This has been true for the past few times I’ve been there recently. Inattentive staff and errors in food orders are now typical. I hope it gets sorted out.,1 star,Overall 1,Food 2,Service 1,Ambience 4
NIcole,"Dined on November 19, 2024",I was surprised that my faro salad was basically a pasta dish. It was served hot with the cheese melted in and wasn’t what I had expected from a “ bowl”. It was still good but I was looking for a bit less faro and more tomatoes and arugula…,5 stars,Overall 5,Food 4,Service 5,Ambience 5
Paul,"Dined on November 17, 2024","My friend ordered the scallops which were $35 with no sides.  He received 3 scallops.  Were these scallops worth $12 a piece.  No, they were overcooked and rubbery.  We should've known that we were there at 7PM on a Saturday night and the place was virtually empty.  Never again",2 stars,Overall 2,Food 3,Service 4,Ambience 4
Paula,"Dined on November 15, 2024","It was a good experience. My server, a Latina who has been there several years, was outstanding. She has a way of appearing at just the right moment with a suggestion or choices that always suited us well.

But the food was only okay, not up to Heirloom’s high standards, despite the enticing descriptions. The half roasted chicken was a little too dry in the breast and the Delicata squash that accompanied it was so overcooked, it almost disintegrated among the spätzle. But the Caesar salad was great, with plenty of anchovies even though the kitchen split the dish before serving it to us.
Read more",4 stars,Overall 4,Food 3,Service 5,Ambience 5
Bettina,"Dined on November 10, 2024","We went for brunch.  The food was delicious.  The bagel and gravlox, bacon and egg sandwich, and ricotta pancakes with blueberries were scrumptious.  The service was friendly and professional.  It was 11am and closed the blinds.  This was a little wierd given the beautiful weather, and they never refilled our water bottle, but these are little things and we never actually asked them to refill the water.  This is a great place for a family meal, meet up with friends
Read more",4 stars,Overall 4,Food 5,Service 4,Ambience 4
Mary,"Dined on November 9, 2024",The restaurant was particularly slow.  It took a long time to get our food and when it came it was cold.  We didn’t send it back because we didn’t want to wait again.  None of us thought our meals were good.,2 stars,Overall 2,Food 2,Service 2,Ambience 3
Stefanie,"Dined on November 3, 2024","Food super excellent, as always. Took quite some time to get water and cream for the coffee (had to ask two different people) at the start, and had no spoons.",4 stars,Overall 4,Food 5,Service 3,Ambience 4
Catherine,"Dined on October 31, 2024",My husband and I celebrated our anniversary here and our waitor made it so special! We got dessert that said happy anniversary on chocolate! Food was excellent and wine was beautiful! Great ambiance and friendly wait staff!,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Rod,"Dined on October 27, 2024",Our brunch was exceptional. The avocado toast was excellent and also the lox.  So fresh and flavorful and even the bacon and sausage were amazing!!,5 stars,Overall 5,Food 5,Service 5,Ambience 4
Susie,"Dined on October 27, 2024","Delicious dinner and great service. It is very loud once the place fills up, so keep that in mind.",4 stars,Overall 4,Food 5,Service 4,Ambience 4
Lisa,"Dined on October 23, 2024",Will not go back -very poor service . Server was not interested,3 stars,Overall 3,Food 4,Service 1,Ambience 2
France,"Dined on October 23, 2024","Food and ambience was amazing, service was a bit slow.",3 stars,Overall 3,Food 5,Service 1,Ambience 4
Scott,"Dined on October 20, 2024","The food was truly excellent, from appetizers and cocktails all the way through desserts. Not a bargain but I think fair value for such a quality meal.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Stacey,"Dined on October 20, 2024",We always have a great experience when we dine at Heirloom. The food was delicious and the cocktails were outstanding.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
Monica,"Dined on October 20, 2024",Atmosphere is nice- service was very slow and inattentive. Food took a really long time to receive (not just our table) and was mediocre.,3 stars,Overall 3,Food 3,Service 2,Ambience 5
