User Name,Date of Review,Review Content,Rating,Overall Rating,Food Rating,Service Rating,Ambience Rating
Bill,Dined 2 days ago,The food was excellent.  Very responsive service.,5 stars,Overall 5,Food 5,Service 5,Ambience 4
Heather,Dined 3 days ago,"State & Lake was recommended to us and reviews looked great so we made a reservation, and it was fine, but it wasn't super memorable. Service was just okay - we had to ask for coffee several times, no one checked on us after food was delivered, one of the items on our order was not as expected, and we didn't really get any guidance, and because no one checked back we were never really able to ask or order more to amend what we received. We waited too long for our check and the whole experience was just sort of ""meh"". Food DID arrive really quickly and the restaurant is pretty and cozy. I ordered the Egg Bake and it was good, but the menu says ""spicy sausage crumbles"" -- it's chorizo! I was expecting spicy breakfast sausage and probably would have ordered something different with an accurate menu description. I would probably not go back based on the experience and would say for anyone looking to book breakfast (that is not staying at this hotel), you might want to look for other options!
Read more",3 stars,Overall 3,Food 4,Service 3,Ambience 3
mike,Dined 4 days ago,"Table of 5 and the waiter was responsive. A little slow from the bar, but we survived.",5 stars,Overall 5,Food 5,Service 4,Ambience 5
Joanna,"Dined on November 30, 2024","The waitress barely acknowledged us, she didn’t come to check in until it was too late, and took forever to grab the check. Someone else ended up taking our order. The drinks were really slow. We wanted breakfast but on a Saturday at 11am, there was no breakfast. Food is mediocre.",1 star,Overall 1,Food 2,Service 1,Ambience 1
Anna,"Dined on November 30, 2024","Food was sub par.  Expensive for what you get. Limited menu. Money sandwich was cold. Like from the fridge cold. My husband did not get his toast with eggs and bacon even after we mentioned it, until after meal was finished.  And not buttered  His breakfast was runny eggs, mushy potatoes, raw bacon. The kids meal came with pancakes only. Nothing else. No whip cream. No side very  plain. One side wasn’t even  cooked well , other side was burned.  They did comp us for that one.  The first pancakes had syrup spilled all over. They took them back and then recieved the burnt ones. Had to ask for syrup, and butter which arrived frozen and unable to  spread.  Refills were never offered on coffee, water or juice. Even though they did not look super duper busy. Our server was very nice and apologized.  He was a nice man.  Had to ask for toast, syrup, butter, refills, and straws. Convenient location near the Chicago theatre and Macys.  Go through the WIT hotel which was decorated for holidays beautifully.  The tree is amazing.  Had reservations and said with little kids but  had to wait for a non high top. I would not go here again. Pricey for what you get and zero presentation. If you just want an egg I guess it’s fine.
Read more",1 star,Overall 1,Food 1,Service 3,Ambience 2
Ruben,"Dined on November 30, 2024","The staff was very welcoming and attentive. The Thanksgiving menu was terrific and vast.
We were so pleased that we came back the following day for dinner again.",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Jim,"Dined on November 29, 2024","Service on TG was really lacking, detached, indifferent",3 stars,Overall 3,Food 3,Service 2,Ambience 3
Roger,"Dined on November 29, 2024","We went for the Thanksgiving dinner which had a special menu. We chose the prime rib and it was very good. They so had great deserts. We were glad to have such a nice place to eat Thanksgiving dinner together while traveling. Reservations were required for this dinner. We came in early to have drinks, but they were able to seat us right away. The “Bootlegger” bourbon drink was very good.
Read more",5 stars,Overall 5,Food 5,Service 5,Ambience 5
Wendy,"Dined on November 29, 2024",We had a good experience at State and Lake Chicago Tavern.  The atmosphere was warm and the food was delicious.  The waiter was very attentive and the decoration was beautiful.  A five star experience.,5 stars,Overall 5,Food 5,Service 5,Ambience 5
CalvinB,"Dined on November 29, 2024","The dining experience at State & Lake could be much better! Salad bar was very good... Fresh greens and good variety. The entrees were mediocre at best.  The prime rib was barely warm; Even after sending it back the meat was still barely warm, poorly/totally unseasoned. I ordered meat medium well, came back the second time medium RARE... I ate around the raw parts... The mashed potatoes were clearly from a BOX, and tasted like it. The asparagus SPRIGS were almost charred...  For a Thanksgiving meal this left MUCH to be desired!  The staff was EXEMPLARY! ... Very polite, the manager on duty did apologize for the food not being hot/satisfactory and offered complimentary glasses of wine. I appreciated that VERY much! Doubt if I'll be returning and won't be recommending this restaurant! So sorry!
Read more",3 stars,Overall 3,Food 2,Service 4,Ambience 3
